DEPTNO,DEPTNAME,MGRNO,ADMRDEPT,LOCATION
A00,SPIFFY COMPUTER SERVICE DIV.,000010,A00,
B01,PLANNING,000020,A00,
C01,INFORMATION CENTER,000030,A00,
D01,DEVELOPMENT CENTER,NULL  ,A00,
D11,MANUFACTURING SYSTEMS,000060,D01,
D21,ADMINISTRATION SYSTEMS,000070,D01,
E01,SUPPORT SERVICES,000050,A00,
E11,OPERATIONS,000090,E01,
E21,SOFTWARE SUPPORT,000100,E01,
F22,BRANCH OFFICE F2,NULL  ,E01,
G22,BRANCH OFFICE G2,NULL  ,E01,
H22,BRANCH OFFICE H2,NULL  ,E01,
I22,BRANCH OFFICE I2,NULL  ,E01,
J22,BRANCH OFFICE J2,NULL  ,E01,
